filename	rooms	isRetirementHome	isSharedOwnership	listingCondition	location	numBaths	numRecepts	outcode	postTownName	propertyType	tenure	ditsnace_to_school	ditsnace_to_train	text_description	features	price
62560735.html	3	False	False	pre-owned	Swillington	1	1	LS26	Leeds	detached	freehold	0.1	1.2	'Summary Guide Price £290,000 - £300,000 This property is a fantastic example of a three bedroom detached family home. Offering spacious living accommodation throughout which includes a modern fitted kitchen, a through lounge and dining room. Externally this superb property also has a driveway and garage! Description Briefly comprising of an entrance hall, lounge, a modern fitted kitchen, and a dining room to the ground floor with the three bedrooms and house bathroom occupying the first floor, this delightful detached family home is set within the popular village of Swillington and offers a driveway which provides ample off street parking as well as a garage and rear garden. An internal inspection is highly advised to fully appreciate everything this home has to offer. Entrance Hall Having the entrance door to the front aspect, a gas central heating radiator and a useful storage cupboard. Lounge 22\' 5" max x 10\' 11" max ( 6.83m max x 3.33m max ) With a double glazed bay window to the front aspect, and double glazed French doors leading out to the rear. Feature fire place with an electric fire and a gas central heating radiator. Dining Room 9\' 7" max x 7\' 6" max ( 2.92m max x 2.29m max ) Having an under stair storage cupboard, gas central heating boiler, a gas central heating radiator and a double glazed window to the rear aspect. Kitchen 7\' max x 15\' 8" max ( 2.13m max x 4.78m max ) Comprising of a modern fitted kitchen with a range of both wall and base units with complimentary work surfaces over. Includes a stainless steel sink and drainer, an electric double oven with an electric hob and matching cooker hood extractor over. Plumbing for a washing machine, an integrated dishwasher and fridge freezer, plus part tiled walls. Gas central heating radiator and a double glazed window to the side aspect and a door also to the side. First Floor Landing With stairs rising from the ground floor and having a double glazed window to the side, built in storage and the loft access hatch. Bedroom One 10\' 9" max x 10\' 11" max ( 3.28m max x 3.33m max ) Double glazed window to the front aspect, ceiling spotlights and a gas central heating radiator. Bedroom Two 9\' 9" max x 9\' 5" max ( 2.97m max x 2.87m max ) Double glazed window to the rear aspect and a gas central heating radiator. Bedroom Three 6\' 11" max x 6\' 5" max ( 2.11m max x 1.96m max ) Double glazed window to the front and a gas central heating radiator. House Bathroom Fitted with a three piece bathroom suite which includes a bath with taps and a shower over, a wash hand basin and a low level flush w.c. Heated towel rail and a double glazed window to the rear. Exterior Externally the property has a driveway to the front allowing for ample off street parking, while to the rear is an enclosed garden space with a patio seating area and lawn. Garage 17\' 3" max x 8\' 1" max ( 5.26m max x 2.46m max ) A single garage with an up and over door, power and lighting. 1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. 2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. 3. The measurements indicated are supplied for guidance only and as such must be considered incorrect. 4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. 5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.'	'Guide Price £290,000 - £300,000 + Detached Family Home + Three Bedrooms + Well Presented Throughout + Off Street Parking + Garden To The Rear + Garage + Viewing A must!'	290000
63504402.html	1	False	False	pre-owned	Horsforth	1	1	LS18	Leeds	terraced	freehold	0.4	0.5	'Ideal 1st home or investment! Spacious one double bed, back to back terrace set over three floors. Outside, parking is on street. Empty Introduction Exciting and rare opportunity! Ideal 1st home or investment. Nicely finished, one double bedroom, back to back terrace home with new flooring and recently fitted triple glazing. Sited minutes away from Town Street\'s excellent amenities and with great commuter links. Offering spacious accommodation over three floors, comprises, entrance hall, light and airy lounge with exposed floorboards, feature fireplace and useful fitted storage to both alcoves to chimney breast. Downstairs is the good size dining kitchen with a modern fitted kitchen, integrated appliances and ample dining space. Up on the first floor is the generous double bedroom with period cast iron fireplace and fitted storage along with a modern fully tiled house bathroom which is such a good size and has a thermostatic shower over the bath, floating wash hand basin and WC. Ready to move straight into, will not be around for long! Location This is a prime residential location where you will find excellent schools to suit all ages, with preschools, also Kids Club and Trinity University all on hand. Amble to an array of eateries, bars, shops etc, with supermarket, park, banks etc also on hand. There are gyms, cricket, bowls, rugby, golf, running clubs, and a skate park, something for everybody. For commuters, Horsforth Train Station provides services to Leeds, York and Harrogate. Kirkstall Forge Train Station is located down the A65 and offers further means of convenient access into the City (8 mins) and surrounding areas. The Ring Road (A6120) and the (A65) are nearby and provide main road links to the commercial centres of Leeds, Bradford, York and Harrogate, a regular bus service runs into the City Centre and, for the more travelled commuter, Leeds-Bradford Airport is a short drive away. All in all, this location is sought after by a wide variety of buyers and enjoys a strong sense of community and a thriving village atmosphere. How to find the property Sat nav - Post Code - LS18 5BZ. Accommodation ground floor Composite entrance door to ... Entrance hall With staircase up to the first floor, useful cloaks storage and door to ... Lounge 13\'0" x 13\'4" A lovely reception room with exposed floorboards and feature fireplace housing a gas fire (not working). Lots of natural light from the window to the front and useful fitted storage to alcoves both sides of the chimney breast. Access down to the ... Lower ground floor dining kitchen 15\'8" x 12\'0" An impressive size dining kitchen with modern fitted kitchen incorporating electric oven with four point gas hob, integrated dishwasher and washing machine and space for a tall fridge freezer. Ample dining space, tiled floor and inset sink with mixer tap. The boiler is housed here. Window to the front elevation. Recessed spotlighting. First floor landing With access to the loft and doors to ... Bedroom one 13\'3" x 10\'5" A good size double bedroom at the front of the house with period cast iron fireplace and useful fitted storage. Bathroom 5\'4" x 9\'2" So spacious! Incorporates a modern three piece suite with thermostatic shower over the bath, floating wash hand basin and WC. Fully tiled to walls and floor. Window to the front elevation, useful fitted storage and ladder central heating radiator. Outside Parking is on street. Brochure details Hardisty and Co prepared these details, including photography, in accordance with our estate agency agreement. Services - Disclosure Of Financial Interests Unless instructed otherwise, the company would normally offer all clients, applicants and prospective purchasers its full range of estate agency services, including the valuation of their present property and sales service. We also intend to offer clients, applicants and prospective purchasers\' mortgage and financial services advice through our association with our in-house mortgage and protection specialists hardisty financial. We will also offer to clients and prospective purchasers the services of our panel solicitors, removers and contactors. We would normally be entitled to commission or fees for such services and disclosure of all our financial interests can be found on our website. Mortgage services We are whole of market and would love to help with your purchase or remortgage. Call Hardisty Financial to book your appointment today option 3.<br /><br />'	'Council Tax - A. EPC - C + Rare &amp; exciting opportunity! + Ideal 1st home/investment + 1 dble bed, back to back terrace + Walk to Town Street + Great commuter links + Good size lounge ground floor + Dining kitchen lower ground floor + Double bed, &amp; large bathroom + Parking is on street'	160000
62183278.html	4	False	False	pre-owned	Huddersfield	3	2	HD5	Huddersfield	detached	freehold	0.3	0.3	'Dwellings Estate Agents are delighted to present this stunning four-bedroom detached family home to the market. This impressive extended family home is located in a private cul-de-sac of only three homes in this modern Dalton development. This property is set in the most convenient location close to Huddersfield Town Centre, with local shops and schools being within proximity, along with useful transport links to adjoining villages. This family home is immaculately presented throughout and set over two floors. The ground floor briefly consists of an entrance hall, a lounge, a living room, dining room, kitchen, and a downstairs bathroom. The first floor features four spacious bedrooms and a family bathroom. The master bedroom has an en-suite shower room. Externally, there is ample parking for two vehicles in the front driveway. The driveway leads to a side gate which leads to the enclosed and generously sized garden, boasting a decked sitting area, with the rest of the ample space being paved. Viewings are an absolute must to fully appreciate this beautiful home. Would you like to view this property? Simply click on the "Email Agent" button or call us on . Kitchen (3.4m x 3.3m (11\'1" x 10\'9")) Lounge (4.4m x 3.7m (14\'5" x 12\'1")) Dining Room (3.2m x 2.4m (10\'5" x 7\'10")) Setting Room (4.9m x 2.5m (16\'0" x 8\'2")) Master Bedroom (4.2m x 3.8m (13\'9" x 12\'5")) Bedroom Two (3.5m x 3.0m (11\'5" x 9\'10")) Bedroom Three (3.6m x 3.0m (11\'9" x 9\'10")) Bedroom Four (2.9m x 2.8m (9\'6" x 9\'2")) Family Bathroom (1.8m x 1.6m (5\'10" x 5\'2")) En Suite (2.0m x 2.0m (6\'6" x 6\'6")) Bathroom (2.1m x 1.5m (6\'10" x 4\'11"))'	'A private cul-de-sac of only three homes + Detached home + Four bedrooms + Close to amenities + Off road parking + Spacious rear garden + En-suite shower room + Ideal family home + Viewing is A must to appreciate'	295000
63414112.html	2	False	False	pre-owned	Stanningley	1	1	LS28	Pudsey	semi_detached	None	0.1	0.2	'Situated within a superb corner plot, tucked away at the end of a cul-de-sac, this smart two bedroom semi detached home offers ready to move into accommodation of which early viewing is a must! With contemporary dining kitchen, spacious conservatory, two double bedrooms, off street parking and a lovely enclosed garden, this is sure to suit those looking to downsize and first time buyers alike. Comprising in brief, to the ground floor; entrance hallway, living room with electric fire set in modern fireplace and rectangular bay window and leading through into the dining kitchen with a range of stylish hi-gloss fitted units with solid wood work surfaces over, electric oven, gas hob, integrated dishwasher, ceiling spotlights and understairs storage. To the rear of the property is a generous conservatory which makes a great second reception area having wood flooring and views over the rear garden. To the first floor are two double bedrooms, the master to the rear with fitted wardrobes and drawers with hi-gloss finish and the bathroom with white suite, splash back tiling and heated towel rail. Externally, the property boasts an impressive corner plot with enclosed rear garden having lawn, garden shed and planted beds, extending round to the side of the property and an access gate leading out to a paved driveway for off street parking. Stanningley is a popular area of West Leeds and is compressed between the areas of Pudsey, Farsley, Bramley and Rodley and dissected by Stanningley Road that forms an arterial route towards Leeds City Centre and out to Bradford. This area is ideal for the business commuter as there are various bus routes that run to both city centres and surrounding districts, as well as New Pudsey and Bramley Railway Stations. Conveniently placed a short distance away is the Owlcotes Shopping Centre that provides the consumer with both Asda and Marks & Spencer superstores and ample car parking. Additional Information Tenure Freehold Disclaimer Any information in relation to the length of lease, service charge, ground rent and council tax has been confirmed by our sellers. We would advise that any buyer make their own enquires through their solicitors to verify that the information provided is accurate and not been subject to any change.'	''	235000
62822840.html	5	False	False	pre-owned	Guiseley	4	5	LS20	Leeds	end_terrace	freehold	0.1	0.3	"Summary A great opportunity for investors and property developers to purchase this unique and versatile end terrace, located in the heart of Guiseley with commercial shop included, three studio flats a large duplex apartment and lower ground floor storage area ideal for further development. Description Residential Investment, rare opportunity to purchase three studio flats, plus a sizeable duplex flat, double fronted shop and spacious lower ground accommodation prime for conversion. Total size approximately 5000 square feet. All income producing and perfect renters being ideally placed within a prime central Guiseley location. Walking distance to the train station serving Leeds, Ilkley and Bradford as well as regular buses. Guiseley itself offers a wide range of shopping outlets, amenities and supermarkets. As well as cafes, restaurants and bars. There are also a number of highly regarded primary and secondary schools, picturesque walks close at hand and a variety of recreational facilities including Guiseley swimming baths, Nuffield health gym and another gym Power currently under construction. There are four apartments arranged over three floors, three being studio apartments with one large duplex. There is a communal area to the rear which can be used as outside space or off street parking. Lower Ground Floor A great space on the lower ground floor which is accessed via a fire door from the rear. Currently a good size storage room but with excellent potential to be further converted to another studio flat. Inner Hall With access to a wc, sink, further storage room and kitchen area. There are stairs leading to the ground floor where the shop is located. Kitchen Area Wc Ground Floor Shop To the front of the property there is a commercial unit which has been a variety of different shops in the past including a post office and tattoo parlour. A great space which is double fronted with two large windows and one to the side having a high ceiling and plumbing for a sink. The shop was bringing in approximately £800pcm however we feel this could be increased due to the prime location and potential to be refurbished. First Floor Entrance Vestibule Accessed from the rear via a timber door with telecom entry, stairs leading to the second floor and access to studio flat one. Studio Flat 1 A good size studio flat with a large three panel bay window to the rear, laminate wood flooring, upgraded electric panel heater and telecom entry system. There is a separate kitchen with wall and base units with surfaces over and tiled splashback. Stainless steel sink unit, electric hob and oven and space for an under counter fridge freezer. There is a uPVC double glazed window to the side and a shower room with extractor fan, wc, shower cubicle and wash hand basin. Second Floor Landing Providing access to studio flats 2,3 and 4. Studio Flat 2 A second studio flat with laminate wood flooring, three uPVC double glazed windows to the rear and upgraded electric panel heater. The kitchen has wall and base units with work surfaces over and a tiled splashback, stainless steel sink unit, electric hob and integrated fridge freezer. The shower room comprises of electric shower, wc, pedestal wash hand basin, shaver point, laminate wood flooring and tiling to splash areas. Studio Flat 4 A third studio flat open plan with the kitchen with laminate wood flooring, two windows to the front and one to the side plus French doors to the roof terrace. There is a useful understairs wardrobe or storage cupboard. The kitchen area has wall and base units with surfaces over, tiled splash back, stainless steel sink unit, electric oven and hob and space for under counter fridge. The shower room comprises of a shower cubicle with electric shower, wc, pedestal wash hand basin and extractor fan. Third Floor Landing Duplex Flat 3 On the third and fourth floors there is a spacious two double bedroom duplex apartment which has central heating throughout. The two sizeable bedrooms are located on the third floor, both with windows to the front and one to the side. Also located on this floor is the dining kitchen and bathroom and the landing has a study area and stairs to the fourth floor. Fourth Floor On the fourth floor there is a spacious lounge with Velux windows, feature beams leading through to what's currently used as an extra bedroom, but is a versatile space and could be used for whatever a buyer requires and there is ample storage space under the eaves. External Details There is a paved yard to the rear which can used as an outdoor seating area or off street parking. Agents Note This property is freehold but has a semi commercial aspect. The property has three phase power supply one for studio flat 3, one for the shop and another for the three studio flats. Lease ask for more information relating to this. 1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. 2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. 3. The measurements indicated are supplied for guidance only and as such must be considered incorrect. 4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. 5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property."	'Great investment oppportunity + Unique &amp; Versatile Accommodation + Commercial Premises Included + Located In The Heart Of Guiseley + Income Producing Apartments + Circa 5,000 Square Feet + All Flats Currently Tenanted'	350000
61849490.html	4	False	False	pre-owned	Beeston	3	3	LS11	Leeds	semi_detached	freehold	0.2	0.5	'A very rare and unique property for a family to move in immediately. The recently modernised and fully certified semi-detached property is a hidden gem and well worth a viewing to appreciate the high-quality work undertaken. The property benefits from 4 bedrooms and an office/study/downstairs bedroom facilitates its own private w/c. The office/study/bedroom is currently functioning as an office which attracts clients from all over the UK as the ideal location of the motorway connection. Ground Floor Upon entering the property, the electrical stair lights accentuates the glass-fitted bannisters creating an open and spacious landing. The stunning kitchen is contemporary and spacious and the heart of the property. The two roof lanterns attract great light and allow for an open-plan kitchen dining area. Due to the superior insulation, the winter months keep the warmth. The lounge has cinematic lighting around the ceiling as well as around the television area making watching daily tv a cinema experience. Due to the generous amount of space, the open-plan currently accommodates a multi-gym at present which can be replaced by a dining/entertainment area. The downstairs family bathroom facilitates a w/c, vanity unit, spacious walk-in shower cubicle and electrically illuminated wide mirror. There is a big utility/store cupboard used for storage and laundry. First Floor On the first floor, there is a beautiful main bedroom, a second bedroom with a fitted wardrobe which is complemented by a family house bathroom. The landing area allows for a work/office/reading area overlooking the main road. Second Floor There are two modern bedrooms and a sleek walk-in shower bathroom which services the top floor. The tasteful decor is neutral with an inbuilt lighted mirror. External Externally there is a large size, private, south-facing garden to the rear of the property, which is a particular feature and provides an ideal space for outside entertaining and alfresco dining for adults and a play area for children. There are electrical lights and flood lights which illuminate the garden well on an evening. Uniquely, an outdoor aviary and large insulated with electrically operated shed/ workshop which could be converted into a ‘man-cave’. Driveway: Modern resin driveway with built-in electrical wired lights which are controlled indoors. The drive has ample off-street parking for 4 cars and an extended dropped kerb for ease of joining the main road. The property is close to all local amenities on offer such as White rose Shopping Centre, M62/M1/M621 motorway, Primary and High schools (Outstanding awarded recently to local high school). EPC Rating C. New type 22 radiators fitted. Up-to-date electrical and gas safety certificates and new wiring throughout the property. New Baxi efficient Boiler with 7 years warranty. Accessible Bus route with a bus stop at walking distance connecting to Leeds City Centre and other towns/cities.home Tenure: Freehold Council Tax: B'	'Well presented + Extended family home + 3 Bathrooms + Close to local amenities + Off street parking + Viewings highly recommended + Garden'	290000
62668169.html	2	False	False	pre-owned	BD20 8FG	1	1	BD20		flat	leasehold	0	0.2	"Beautiful two bedroom apartment with lift access and balcony! Brought to the market with no onward chain is this beautiful two bedroom executive first floor apartment situated in the highly popular village of Cononley. The village of Cononley has excellent transport links via its own Train Station and the business centres of West Yorkshire and East Lancashire are within comfortable daily commuting distance by car. Furthermore the property sits within the catchment for a well-regarded primary school and is close to an array of local amenities. This traditional Yorkshire village is surrounded by beautiful open countryside and farmland and enjoys a very active village community, having a regular programme of local events including an annual gala, scarecrow festival, beer festival and duck race. The nearby market town of Skipton is known as the 'Gateway to the Dales' and offers extensive shopping and recreational facilities together with excellent secondary schooling. This well-presented apartment briefly comprises externally; an allocated parking by the main communal door which is fully secure with an intercom system giving access to the reception lobby and a lift to access all floors. Internally the apartment is finished to a high standard with modern fixtures and fittings and includes an open plan kitchen/living/dining room with balcony, two double bedrooms a main bathroom. Accommodation Communal Entrance An impressive communal entrance incorporating a furnished lounge area where apartment mail boxes and a lift to all floors can be found accessed through a secure video intercom entry system. Entrance Hall The apartment has its own private hallway with a storage and utility cupboard, electric heating and access to all rooms within. Living/Kitchen/Dining Room A naturally lit open plan kitchen/living room with flexible dining space. The kitchen is fully fitted with a mixture of modern wall and base units, integral appliances including fridge/freezer, dishwasher, electric fan oven and hob and extractor over and a one and half sink and drainer. The living room has access to the balcony offer beautiful views over the countryside and is made to feel light, airy and generous in size via triple aspect windows. Bedroom One A substantial double bedroom with spotlights, electric heating and double glazed window with views. Bedroom Two Adjacent to the main bedroom is another double room with electric heating, over bed spotlights and double glazed window. Bathroom A stunning contemporary bathroom, fully tiled and comprising a double shower unit, a wall mounted w/c, a wash hand basin with mixer taps and vanity unit under and heated towel rail. Leasehold Information We have been advised the following; Tenure: Leasehold Lease remaining: 997 years Full lease term: 999 years from 1 January 2019 Service Charge £75 per month Ground rent £225 Per Annum Council Tax Craven District Council Tax Band C. For further details on Craven District Council Tax Charges please visit: Or telephone them on Phone: Or . Viewing Arrangements We would be pleased to arrange a viewing for you. Please contact Dale Eddison's Skipton office. Our opening hours are:- Monday to Friday: 9.00am - 5.30pm Saturday: 9.00am - 4.00pm Sunday: 11.00am - 3.00pm<br /><br />"	'Allocated Parking + Stunning Views + Highly Sought After Location + Excellent Transport Links + Two Double Bedrooms + Lift Access + Modern Finish Throughout'	265000
62588698.html	2	False	False	pre-owned	Leeds	1	1	LS9	Leeds	terraced	freehold	0.1	0.2	'Summary A spacious two bedroom back to back property which is sure to appeal to investors and first time buyers, within walking distance to local amenities and great transport links. Viewing is recommended. Description We are proud to offer a two bedroom back to back property which is situated in a popular and sought after location and is within easy reach of a host of amenities, it is sure to appeal to a variety of buyers from investors to first time buyers. The property briefly comprises; Two double bedrooms, kitchen, cellar, lounge, bathroom, externally the property has a forecourt to the front. Early viewing is highly recommended. Living Room 17\' 5" max x 12\' 5" max ( 5.31m max x 3.78m max ) Having a entrance door, fireplace and a double glazed window the the front elevation. Kitchen 10\' 8" max x 5\' 7" max ( 3.25m max x 1.70m max ) A range of wall & base unit with a wood finish, fully tiled, stainless steel sink drainer, door to cellar and double glazed window to the front elevation. Cellar First Floor Landing Stairs to the second floor. Bedroom One 14\' max x 11\' 3" max ( 4.27m max x 3.43m max ) A spacious double bedroom and Double glazed window to the front elevation. Bathroom Briefly comprises; bath with shower, wash hand basin, WC, fully tiled and double glazed window to the front elevation. Second Floor Bedroom Two 13\' 7" max x 13\' 5" max ( 4.14m max x 4.09m max ) Landing with a storage cupboard and double glazed window to the front elevation. External Paved garden to the front of the property and access to the cellar, 1. Money laundering regulations: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale. 2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property. 3. The measurements indicated are supplied for guidance only and as such must be considered incorrect. 4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. 5. These particulars are issued in good faith but do not constitute representations of fact or form part of any offer or contract. The matters referred to in these particulars should be independently verified by prospective buyers or tenants. Neither sequence (UK) limited nor any of its employees or agents has any authority to make or give any representation or warranty whatever in relation to this property.'	'Back to Back Mid-Terrace + Two Double Bedrooms + Popular &amp; Convenient Location + Close to Local Amenities + Early Viewing Recommended'	100000
63581561.html	2	False	False	pre-owned	Swillington Common	1	1	LS15	Leeds	semi_detached	freehold	0.8	0.9	'A very rare opportunity has arisen to purchase this deceptively spacious and characterful 19th century Semi-Detached Property situated just off the main Selby Road and for those buyers looking for something with high ceilings and plenty of space, this property should appeal. The sizeable accommodation in brief comprises to the ground floor level; entrance hallway with door to the front, door to the rear, staircase rising to the first-floor accommodation, understairs storage area which houses the gas central heating boiler and has a trap door leading down to the small basement cellar. The pleasant lounge has a square bay window to the front, ceiling coving and cornice, ceiling rose and a stone fireplace and surround. The fitted dining kitchen has ceramic tiled splash backs, ceramic tiled floor, and a window to the rear. To the first floor, a sizeable split-level landing has a window to the rear, gives access to the occasional attic room via a drop-down ladder and leads to two double bedrooms, both have built in wardrobes with overhead storage. The house bathroom has a four-piece suite in white which incorporates ceramic tiled walls, a heated ladder towel rail and a window to the front. The occasional attic room has built in wardrobes, a radiator and a skylight window to the front. Outside, to the front of the property there is a lawn garden and to the rear, a shared access road leads to a driveway and single attached garage which offer some limited access. There are also two useful outhouses. LS15 is a popular and very convenient location situated to the East of Leeds. Offering many local attractions & amenities including Temple Newsam House, grounds & golf course. There is a selection of schools for all ages, local parks & excellent shopping facilities, including the Crossgates Shopping Centre and the Springs at Thorpe Park which offers restaurants and a cinema. Restaurants, pubs and micro bars and overnight stay facilities can be found in Crossgates, Halton & Colton. For the commuter excellent vehicular access to A63, A58, A64, A1 /M1 links and the outer Ring Road. Crossgates offers a train station and good bus routes to the city and surrounding areas. Tenure Freehold Disclaimer Any information in relation to the length of lease, service charge, ground rent and council tax has been confirmed by our sellers. We would advise that any buyer make their own enquiries through their solicitors to verify that the information provided is accurate and not been subject to any change'	'Sizeable Period Semi-Detached + Two Double Bedrooms + Lounge With Bay Window + Fitted Dining Kitchen + Four Piece Bathroom Suite + Occasional Attic Room + Packed With Character + Garden &amp; Garage + Council Tax Band B - EPC Rating: E'	185000
59523220.html	1	False	False	pre-owned	Bradford	1	1	BD1	Bradford	flat	leasehold	0.1	0.3	'*******long lease - 200+ years********* an immaculately presented and stylish one double bedroom apartment in the heart of little germany! The property is located on the ground floor of Delauney house which is a well maintained and trendy mill conversion. The property itself oozes sophistication and charm, boasting many original features such as exposed beams, brickwork and iron pillows and briefly comprises: Entering the property into the spacious entrance hall there is generous storage and original solid wood flooring which features throughout the property. To the left is the bathroom fitted with modern suite comprising of wash basin, WC and bath w/shower over. Stylish and warm tiling with a mirror feature and a work top in oak wood. Through to the Spacious living room with 2 large sash windows which allow an abundance of natural light floor into the room right-through to the kitchen. The entire wall to the front of the property features the aforementioned stunning exposed redbrick. The kitchen is semi open plan and fitted with modern dark oak effect wall and floor units with complimentary white work tops. Fitted with, at the control of a light switch, stylish Illuminated splashbacks also in a matching white finish. The double bedroom again boasts the exposed brickwork with large sash window. There are also large frosted glass sliding doors which open onto the living room if desired giving the whole apartment a very lovely spacious feel. The property offers the ultimate in urban living with the city centre literally on the door step including amenities such as the popular Broadway shopping Mall with an array of shops and eateries and Broadway plaza leisure complex with Cineworld, Bowling and restaurants. Service Charge approx £1100 pa Ground Rent £250 pa Disclaimer For Virtual Viewings Some or all information pertaining to this property may have been provided solely by the vendor, and although we always make every effort to verify the information provided to us, we strongly advise you to make further enquiries before continuing. If you book a viewing or make an offer on a property that has had its valuation conducted virtually, you are doing so under the knowledge that this information may have been provided solely by the vendor, and that we may not have been able to access the premises to confirm the information or test any equipment. We therefore strongly advise you to make further enquiries before completing your purchase of the property to ensure you are happy with all the information provided.'	'One double bedroom apartment + Original charm / features + Fabulous mill conversion + Bright and spacious + Long lease + Heart of little germany'	70000
